repo_name,owner_login
elasticsearch,elastic
Essentials,essentials
exist,eXist-db
fcrepo4,fcrepo4
fizteh-java-2014,dkomanov
georchestra,georchestra
geoserver,geoserver
geotools,geotools
gradle,gradle
grails-core,grails
GWTP,ArcBees
H2GIS,orbisgis
helios,spotify
Hydra,Findwise
jcabi-github,jcabi
jedis,xetorthio
junit4,junit-team
kite,kite-sdk
lodmill,lobid
logback,qos-ch
lorsource,maxcom
apex-Malhar,apache
mcMMO,mcMMO-Dev
mev,dfci-cccb
mifosx,openMF
mongo-java-driver,mongodb
MozStumbler,mozilla
netty,netty
okhttp,square
openmicroscopy,openmicroscopy
orbisgis,orbisgis
picasso,square
picketlink,picketlink
platform,proofpoint
presto,prestodb
retrofit,square
riak-java-client,basho
scribejava,scribejava
seqware,SeqWare
Spout,SpoutDev
stratosphere,stratosphere
tajo,apache
uPortal,Jasig
vraptor4,caelum
windup,windup
WordPress-Android,wordpress-mobile
XChange,knowm
zanata-server,zanata